customer_id,customer_name,city,state,country
CUST001504,Vihaan Sharma,Washington,DC,United States
CUST000178,Pooja Kumar,Fort Worth,TX,United States
CUST047516,Sneha Singh,Austin,TX,United States
CUST030059,Vihaan Reddy,Charlotte,NC,United States
CUST048677,Aditya Kapoor,San Antonio,TX,United States
CUST042705,Karan Sharma,Los Angeles,CA,United States
CUST037667,Aarav Verma,Chicago,IL,United States
CUST031165,Rohit Kumar,Denver,CO,United States
CUST026965,Aman Kapoor,Washington,DC,United States
CUST029472,Aarav Reddy,Houston,TX,United States
CUST005346,Rohit Reddy,Jacksonville,FL,United States
CUST046088,Karan Kumar,Charlotte,NC,United States
CUST026576,Simran Kapoor,New York,NY,United States
CUST006051,Pooja Sharma,Seattle,WA,United States
CUST025111,Mohit Mehta,Indianapolis,IN,United States
CUST040957,Anjali Gupta,Jacksonville,FL,United States
CUST000735,Arjun Kumar,Philadelphia,PA,United States
CUST038237,Anjali Verma,Seattle,WA,United States
CUST040211,Aditya Mehta,Phoenix,AZ,United States
CUST046893,Vihaan Patel,San Diego,CA,United States
CUST041508,Vikas Kapoor,Fort Worth,TX,United States
CUST048817,Pooja Sharma,Chicago,IL,United States
CUST048828,Simran Reddy,Phoenix,AZ,United States
CUST033080,Vihaan Mehta,Dallas,TX,United States
CUST041929,Aditya Reddy,Jacksonville,FL,United States
CUST035043,Priya Kapoor,Columbus,OH,United States
CUST043777,Vikas Kapoor,San Francisco,CA,United States
CUST037985,Rohit Verma,San Antonio,TX,United States
CUST000721,Vivaan Kumar,Denver,CO,United States
CUST008013,Priya Verma,Phoenix,AZ,United States
CUST018693,Sneha Verma,Charlotte,NC,United States
CUST044089,Sunita Gupta,Houston,TX,United States
CUST011946,Simran Patel,Washington,DC,United States
CUST049225,Mohit Patel,Austin,TX,United States
CUST048518,Vikas Kumar,Fort Worth,TX,United States
CUST047957,Pooja Verma,Columbus,OH,United States
CUST043577,Kabir Singh,Phoenix,AZ,United States
CUST029566,Sahil Kumar,Fort Worth,TX,United States
CUST004199,Mohit Joshi,San Antonio,TX,United States
CUST042096,Sunita Gupta,Jacksonville,FL,United States
CUST017203,Sahil Kumar,Chicago,IL,United States
CUST046853,Anjali Sharma,San Antonio,TX,United States
CUST020850,Sneha Sharma,San Diego,CA,United States
CUST039744,Anjali Mehta,San Antonio,TX,United States
CUST017434,Pooja Verma,Houston,TX,United States
CUST045893,Rohit Kapoor,New York,NY,United States
CUST033696,Anjali Kumar,Austin,TX,United States
CUST032008,Neha Mehta,San Diego,CA,United States
CUST011785,Simran Singh,San Antonio,TX,United States
CUST001846,Pooja Singh,San Jose,CA,United States
CUST048348,Sneha Reddy,San Jose,CA,United States
CUST027076,Sahil Gupta,Columbus,OH,United States
CUST012995,Ritika Mehta,Seattle,WA,United States
